time_s,y_mm
303.066667,143.547957
303.075000,143.563431
303.083334,143.559413
303.091667,143.555254
303.100000,143.546891
303.108334,143.532890
303.116667,143.525560
303.125000,143.508562
303.133334,143.499764
303.141667,143.505904
303.150000,143.506303
303.158334,143.504608
303.166667,143.493475
303.175000,143.486649
303.183334,143.487091
303.191667,143.477913
303.200000,143.479390
303.208334,143.486569
303.216667,143.498480
303.225000,143.492404
303.233334,143.492970
303.241667,143.473301
303.250000,143.457593
303.258334,143.473646
303.266667,143.467031
303.275000,143.472893
303.283334,143.479526
303.291667,143.478382
303.300000,143.477026
303.308334,143.457461
303.316667,143.449405
303.325000,143.436919
303.333334,143.443920
303.341667,143.441455
303.350000,143.452386
303.358334,143.446413
303.366667,143.436092
303.375000,143.431273
303.383334,143.415613
303.391667,143.410332
303.400000,143.411901
303.408334,143.419036
303.416667,143.426446
303.425000,143.416946
303.433334,143.399313
303.441667,143.380603
303.450000,143.359266
303.458334,143.347847
303.466667,143.348043
303.475000,143.345451
303.483334,143.347971
303.491667,143.342417
303.500000,143.329787
303.508334,143.316049
303.516667,143.311072
303.525000,143.334807
303.533334,143.352825
303.541667,143.357782
303.550000,143.360991
303.558334,143.359695
303.566667,143.359951
303.575000,143.358650
303.583334,143.362861
303.591667,143.365148
303.600000,143.352671
303.608334,143.353917
303.616667,143.348705
303.625000,143.340827
303.633334,143.326510
303.641667,143.331193
303.650000,143.324866
303.658334,143.313614
303.666667,143.313641
303.675000,143.306333
303.683334,143.305567
303.691667,143.305584
303.700000,143.291153
303.708334,143.281777
303.716667,143.264041
303.725000,143.252816
303.733334,143.244723
303.741667,143.251838
303.750000,143.244701
303.758334,143.237576
303.766667,143.218598
303.775000,143.202383
303.783334,143.202149
303.791667,143.193509
303.800000,143.181808
303.808334,143.183227
303.816667,143.179781
303.825000,143.171055
303.833334,143.162880
303.841667,143.160620
303.850000,143.140216
303.858334,143.129790
303.866667,143.119042
303.875000,143.123626
303.883334,143.113749
303.891667,143.117344
303.900000,143.094546
303.908334,143.083513
303.916667,143.076949
303.925000,143.069004
303.933334,143.063121
303.941667,143.068018
303.950000,143.059349
303.958334,143.055152
303.966667,143.036295
303.975000,143.009779
303.983334,143.010153
303.991667,143.014498
304.000000,143.016612
304.008334,143.010188
304.016667,142.988365
304.025000,142.980043
304.033334,142.973868
304.041667,142.963804
304.050000,142.959776
304.058334,142.971195
304.066667,142.964046
304.075000,142.955860
304.083334,142.941349
304.091667,142.933392
304.100000,142.921233
304.108334,142.918519
304.116667,142.922023
304.125000,142.914187
304.133334,142.907729
304.141667,142.895335
304.150000,142.877625
304.158334,142.868596
304.166667,142.849566
304.175000,142.827391
304.183334,142.799487
304.191667,142.779157
304.200000,142.763721
304.208334,142.749647
304.216667,142.745247
304.225000,142.743616
304.233334,142.735079
304.241667,142.729902
304.250000,142.709044
304.258334,142.700560
304.266667,142.694691
304.275000,142.673872
304.283334,142.678637
304.291667,142.677977
304.300000,142.667471
304.308334,142.658454
304.316667,142.648529
304.325000,142.633569
304.333334,142.619116
304.341667,142.608367
304.350000,142.602671
304.358334,142.592907
304.366667,142.589387
304.375000,142.578605
304.383334,142.561529
304.391667,142.549121
304.400000,142.529399
304.408334,142.520966
304.416667,142.523362
304.425000,142.519526
304.433334,142.511075
304.441667,142.496453
304.450000,142.475344
304.458334,142.465466
304.466667,142.458625
304.475000,142.453754
304.483334,142.447467
304.491667,142.426583
304.500000,142.423702
304.508334,142.399835
304.516667,142.393449
304.525000,142.385127
304.533334,142.370865
304.541667,142.350761
304.550000,142.338919
304.558334,142.315178
304.566667,142.315894
304.575000,142.298197
304.583334,142.306690
304.591667,142.311491
304.600000,142.311277
304.608334,142.311555
304.616667,142.304475
304.625000,142.280908
304.633334,142.299502
304.641667,142.295241
304.650000,142.307047
304.658334,142.298706
304.666667,142.292455
304.675000,142.283148
304.683334,142.269568
304.691667,142.263073
304.700000,142.245339
304.708334,142.245564
304.716667,142.249341
304.725000,142.249884
304.733334,142.237611
304.741667,142.225149
304.750000,142.226159
304.758334,142.219097
304.766667,142.207223
304.775000,142.207526
304.783334,142.201863
304.791667,142.190162
304.800000,142.184467
304.808334,142.172868
304.816667,142.165684
304.825000,142.153500
304.833334,142.146590
304.841667,142.151085
304.850000,142.139772
304.858334,142.125987
304.866667,142.127802
304.875000,142.116773
304.883334,142.106725
304.891667,142.102065
304.900000,142.084555
304.908334,142.078695
304.916667,142.074298
304.925000,142.081691
304.933334,142.068938
304.941667,142.060448
304.950000,142.041875
304.958334,142.027960
304.966667,142.013793
304.975000,142.018612
304.983334,142.016044
304.991667,142.025302
305.000000,142.012989
