time_s,y_mm
0.000000,176.694880
0.008333,176.686210
0.016667,176.681147
0.025000,176.677273
0.033333,176.680942
0.041667,176.681902
0.050000,176.681391
0.058333,176.670593
0.066667,176.664042
0.075000,176.648297
0.083333,176.641229
0.091667,176.632058
0.100000,176.635567
0.108333,176.640552
0.116667,176.637490
0.125000,176.634342
0.133333,176.610204
0.141667,176.601488
0.150000,176.593101
0.158333,176.587457
0.166667,176.581182
0.175000,176.566777
0.183333,176.562103
0.191667,176.543021
0.200000,176.527856
0.208333,176.520733
0.216667,176.514265
0.225000,176.498440
0.233333,176.484350
0.241667,176.474619
0.250000,176.458891
0.258333,176.450984
0.266667,176.437776
0.275000,176.432909
0.283333,176.413118
0.291667,176.403310
0.300000,176.387653
0.308333,176.379959
0.316667,176.372059
0.325000,176.355733
0.333333,176.342507
0.341667,176.337802
0.350000,176.321128
0.358333,176.327576
0.366667,176.324354
0.375000,176.323544
0.383333,176.323517
0.391667,176.316208
0.400000,176.304938
0.408333,176.295639
0.416667,176.284576
0.425000,176.289798
0.433333,176.294264
0.441667,176.275589
0.450000,176.283124
0.458333,176.268212
0.466667,176.258508
0.475000,176.255915
0.483333,176.235233
0.491667,176.235287
0.500000,176.232425
0.508333,176.238949
0.516667,176.253950
0.525000,176.252175
0.533333,176.247501
0.541667,176.240968
0.550000,176.233086
0.558333,176.234748
0.566667,176.238898
0.575000,176.255378
0.583333,176.249853
0.591667,176.253727
0.600000,176.238049
0.608333,176.229764
0.616667,176.209444
0.625000,176.219967
0.633333,176.214394
0.641667,176.224347
0.650000,176.219850
0.658333,176.208486
0.666667,176.201326
0.675000,176.182048
0.683333,176.181881
0.691667,176.176285
0.700000,176.175612
0.708333,176.177821
0.716667,176.175780
0.725000,176.162891
0.733333,176.163671
0.741667,176.159482
0.750000,176.152391
0.758333,176.151447
0.766667,176.150779
0.775000,176.152025
0.783333,176.147673
0.791667,176.139301
0.800000,176.139716
0.808333,176.133021
0.816667,176.127326
0.825000,176.121655
0.833333,176.123374
0.841667,176.122460
0.850000,176.119395
0.858333,176.119924
0.866667,176.111499
0.875000,176.096866
0.883333,176.085366
0.891667,176.086587
0.900000,176.077596
0.908333,176.082172
0.916667,176.088355
0.925000,176.081645
0.933333,176.078784
0.941667,176.067403
0.950000,176.059399
0.958333,176.057032
0.966667,176.060393
0.975000,176.063653
0.983333,176.071535
0.991667,176.085126
1.000000,176.081716
1.008333,176.092419
1.016667,176.083360
1.025000,176.098862
1.033333,176.111086
1.041667,176.128940
1.050000,176.148385
1.058333,176.162018
1.066667,176.177293
1.075000,176.192310
1.083333,176.194874
1.091667,176.198964
1.100000,176.224170
1.108333,176.244403
1.116667,176.266781
1.125000,176.285268
1.133333,176.303277
1.141667,176.317434
1.150000,176.341403
1.158333,176.369054
1.166667,176.392193
1.175000,176.418679
1.183333,176.446131
1.191667,176.465905
1.200000,176.484924
1.208333,176.496662
1.216667,176.519611
1.225000,176.529307
1.233333,176.558390
1.241667,176.583481
1.250000,176.609873
1.258333,176.624734
1.266667,176.642999
1.275000,176.657693
1.283333,176.665246
1.291667,176.692610
1.300000,176.710595
1.308333,176.757100
1.316667,176.782269
1.325000,176.802297
1.333333,176.819712
1.341667,176.831311
1.350000,176.849387
1.358333,176.882241
1.366667,176.910299
1.375000,176.955672
1.383333,176.974720
1.391667,176.994927
1.400000,177.007787
1.408333,177.016522
1.416667,177.040069
1.425000,177.066498
1.433333,177.087474
1.441667,177.118790
1.450000,177.138512
1.458333,177.152181
1.466667,177.174545
1.475000,177.198956
1.483333,177.212012
1.491667,177.235314
1.500000,177.259493
1.508333,177.281018
1.516667,177.308377
1.525000,177.331009
1.533333,177.356174
1.541667,177.380049
1.550000,177.389584
1.558333,177.407695
1.566667,177.418201
1.575000,177.431237
1.583333,177.456467
1.591667,177.494048
1.600000,177.512909
1.608333,177.531930
1.616667,177.536074
1.625000,177.533849
1.633333,177.545088
1.641667,177.559379
1.650000,177.585122
1.658333,177.622092
1.666667,177.643072
1.675000,177.652869
1.683333,177.650326
1.691667,177.652661
1.700000,177.658868
1.708333,177.668940
1.716667,177.694794
1.725000,177.704251
1.733333,177.708003
1.741667,177.715988
1.750000,177.715619
1.758333,177.713765
1.766667,177.723901
1.775000,177.740085
1.783333,177.758565
1.791667,177.771764
1.800000,177.779990
1.808333,177.780445
1.816667,177.778890
1.825000,177.785675
1.833333,177.800122
1.841667,177.833510
1.850000,177.849750
1.858333,177.852954
1.866667,177.860201
1.875000,177.869079
1.883333,177.876709
1.891667,177.895905
1.900000,177.921241
1.908333,177.957097
1.916667,177.973155
1.925000,177.974662
1.933333,177.972990
1.941667,177.988739
1.950000,178.010659
1.958333,178.041497
1.966667,178.055845
1.975000,178.068583
1.983333,178.073525
1.991667,178.066910
2.000000,178.070821
2.008333,178.082908
2.016667,178.095532
2.025000,178.109385
2.033333,178.113285
2.041667,178.107057
2.050000,178.100832
2.058333,178.109078
2.066667,178.101639
2.075000,178.108822
2.083333,178.108449
2.091667,178.127028
2.100000,178.117125
2.108333,178.116284
2.116667,178.116347
2.125000,178.111011
2.133333,178.111153
2.141667,178.106294
2.150000,178.104418
2.158333,178.088406
2.166667,178.075004
2.175000,178.073125
2.183333,178.067929
2.191667,178.069806
2.200000,178.061508
2.208333,178.043176
2.216667,178.036111
2.225000,178.026093
2.233333,178.026618
2.241667,178.022327
2.250000,178.011941
2.258333,178.006051
2.266667,177.988661
2.275000,177.995007
2.283333,177.993937
2.291667,178.007212
2.300000,177.997486
2.308333,177.978699
2.316667,177.951550
2.325000,177.919261
2.333333,177.914571
2.341667,177.902671
2.350000,177.919189
2.358333,177.914737
2.366667,177.890664
2.375000,177.864132
2.383333,177.843976
2.391667,177.809814
2.400000,177.793383
2.408333,177.786540
2.416667,177.772949
2.425000,177.758194
2.433333,177.739509
2.441667,177.697149
2.450000,177.678070
2.458333,177.653002
2.466667,177.633975
2.475000,177.612889
2.483333,177.586536
2.491667,177.569332
2.500000,177.549189
2.508333,177.522442
2.516667,177.517737
2.525000,177.513061
2.533333,177.504159
2.541667,177.474111
2.550000,177.457435
2.558333,177.440557
2.566667,177.416092
2.575000,177.410102
2.583333,177.392302
2.591667,177.386210
2.600000,177.357827
2.608333,177.323391
2.616667,177.294535
2.625000,177.279243
2.633333,177.277796
2.641667,177.273082
2.650000,177.263175
2.658333,177.246799
2.666667,177.232523
2.675000,177.209627
2.683333,177.192286
2.691667,177.186169
2.700000,177.186364
2.708333,177.191640
2.716667,177.176366
2.725000,177.163203
2.733333,177.147966
2.741667,177.121375
2.750000,177.110925
2.758333,177.114499
2.766667,177.102785
2.775000,177.091539
2.783333,177.087550
2.791667,177.058190
2.800000,177.030385
2.808333,177.006965
2.816667,176.989271
2.825000,176.989689
2.833333,176.999505
2.841667,176.986077
2.850000,176.971518
2.858333,176.946311
2.866667,176.929847
2.875000,176.914607
2.883333,176.898982
2.891667,176.902644
2.900000,176.892263
2.908333,176.883445
2.916667,176.856724
2.925000,176.832201
2.933333,176.805510
2.941667,176.776252
2.950000,176.760547
2.958333,176.752523
2.966667,176.749196
2.975000,176.756595
2.983333,176.740175
2.991667,176.723891
3.000000,176.692239
3.008333,176.666200
3.016667,176.645482
3.025000,176.638933
3.033333,176.649519
3.041667,176.649885
3.050000,176.635886
3.058333,176.618942
3.066667,176.602919
3.075000,176.569163
3.083333,176.563968
3.091667,176.545449
3.100000,176.548876
3.108333,176.538276
3.116667,176.515991
3.125000,176.482827
3.133333,176.444616
3.141667,176.404738
3.150000,176.378999
3.158333,176.365155
3.166667,176.345669
3.175000,176.331009
3.183333,176.292340
3.191667,176.254712
3.200000,176.204595
3.208333,176.185859
3.216667,176.163261
3.225000,176.155423
3.233333,176.130804
3.241667,176.097097
3.250000,176.063960
3.258333,176.030285
3.266667,176.001058
3.275000,175.982534
3.283333,175.983008
3.291667,175.962809
3.300000,175.952104
3.308333,175.939136
3.316667,175.916050
3.325000,175.910387
3.333333,175.898732
3.341667,175.891564
3.350000,175.871382
3.358333,175.865378
3.366667,175.841549
3.375000,175.835626
3.383333,175.828964
3.391667,175.809380
3.400000,175.791882
3.408333,175.771603
3.416667,175.741257
3.425000,175.720210
3.433333,175.697591
3.441667,175.680729
3.450000,175.683590
3.458333,175.675361
3.466667,175.645620
3.475000,175.623439
3.483333,175.592487
3.491667,175.550993
3.500000,175.524638
3.508333,175.495350
3.516667,175.469849
3.525000,175.442423
3.533333,175.429120
3.541667,175.416572
3.550000,175.398193
3.558333,175.395638
3.566667,175.379600
3.575000,175.360870
3.583333,175.351296
3.591667,175.347031
3.600000,175.323293
3.608333,175.306306
3.616667,175.292414
3.625000,175.279026
3.633333,175.283874
3.641667,175.281698
3.650000,175.289734
3.658333,175.290281
3.666667,175.280199
3.675000,175.276199
3.683333,175.275016
3.691667,175.270537
3.700000,175.272752
3.708333,175.271840
3.716667,175.275550
3.725000,175.275148
3.733333,175.271656
3.741667,175.277951
3.750000,175.289078
3.758333,175.296573
3.766667,175.295024
3.775000,175.306817
3.783333,175.301792
3.791667,175.300700
3.800000,175.300614
3.808333,175.303770
3.816667,175.318519
3.825000,175.322829
3.833333,175.323179
3.841667,175.318148
3.850000,175.308631
3.858333,175.298722
3.866667,175.292077
3.875000,175.283949
3.883333,175.282710
3.891667,175.290392
3.900000,175.289487
3.908333,175.301283
3.916667,175.294445
3.925000,175.279197
3.933333,175.271291
3.941667,175.281875
3.950000,175.290858
3.958333,175.308658
3.966667,175.328074
3.975000,175.327314
3.983333,175.332433
3.991667,175.336363
4.000000,175.349094
4.008333,175.372042
4.016667,175.379527
4.025000,175.387173
4.033333,175.394113
4.041667,175.394987
4.050000,175.437948
4.058333,175.486594
4.066667,175.529119
4.075000,175.578240
4.083333,175.615255
4.091667,175.657422
4.100000,175.690638
4.108333,175.727359
4.116667,175.782976
4.125000,175.831697
4.133333,175.895905
4.141667,175.953920
4.150000,176.021440
4.158333,176.077076
4.166667,176.136037
4.175000,176.174528
4.183333,176.222307
4.191667,176.246363
4.200000,176.265649
4.208333,176.304567
4.216667,176.349647
4.225000,176.373568
4.233333,176.398880
4.241667,176.429479
4.250000,176.455907
4.258333,176.479330
4.266667,176.518124
4.275000,176.558017
4.283333,176.595730
4.291667,176.641124
4.300000,176.657603
4.308333,176.681295
4.316667,176.704371
4.325000,176.725271
4.333333,176.754596
4.341667,176.768012
4.350000,176.764214
4.358333,176.794344
4.366667,176.805481
4.375000,176.825272
4.383333,176.855372
4.391667,176.880245
4.400000,176.896917
4.408333,176.913340
4.416667,176.945799
4.425000,176.968136
4.433333,177.007285
4.441667,177.045310
4.450000,177.089942
4.458333,177.114853
4.466667,177.148329
4.475000,177.171822
4.483333,177.211202
4.491667,177.240584
4.500000,177.288081
4.508333,177.320801
4.516667,177.345822
4.525000,177.363731
4.533333,177.390101
4.541667,177.419339
4.550000,177.435601
4.558333,177.471315
4.566667,177.506078
4.575000,177.533715
4.583333,177.546368
4.591667,177.560383
4.600000,177.568697
4.608333,177.594162
4.616667,177.617879
4.625000,177.657730
4.633333,177.679954
4.641667,177.692374
4.650000,177.703317
4.658333,177.710061
4.666667,177.718518
4.675000,177.732178
4.683333,177.765851
4.691667,177.783173
4.700000,177.771347
4.708333,177.764306
4.716667,177.753452
4.725000,177.737510
4.733333,177.720245
4.741667,177.719245
4.750000,177.709685
4.758333,177.694565
4.766667,177.682727
4.775000,177.676831
4.783333,177.680749
4.791667,177.692864
4.800000,177.700968
4.808333,177.704593
4.816667,177.695755
4.825000,177.681419
4.833333,177.678758
4.841667,177.699792
4.850000,177.718926
4.858333,177.740092
4.866667,177.754733
4.875000,177.749949
4.883333,177.764172
4.891667,177.789474
4.900000,177.809279
4.908333,177.828920
4.916667,177.847734
4.925000,177.849328
4.933333,177.854280
4.941667,177.858444
4.950000,177.877872
4.958333,177.905752
4.966667,177.926071
4.975000,177.937571
4.983333,177.941901
4.991667,177.943515
5.000000,177.944746
5.008333,177.951602
5.016667,177.956965
5.025000,177.972800
5.033333,177.978978
5.041667,177.968445
5.050000,177.960821
5.058333,177.941723
5.066667,177.946320
5.075000,177.945612
5.083333,177.944551
5.091667,177.947017
5.100000,177.951250
5.108333,177.949748
5.116667,177.946187
5.125000,177.949588
5.133333,177.936851
5.141667,177.936015
5.150000,177.938663
5.158333,177.941111
5.166667,177.937363
5.175000,177.935698
5.183333,177.918649
5.191667,177.916865
5.200000,177.906926
5.208333,177.896881
5.216667,177.880636
5.225000,177.873367
5.233333,177.856028
5.241667,177.840561
5.250000,177.809419
5.258333,177.783193
5.266667,177.768295
5.275000,177.747072
5.283333,177.715281
5.291667,177.673248
5.300000,177.635971
5.308333,177.608007
5.316667,177.579035
5.325000,177.564424
5.333333,177.537118
5.341667,177.525011
5.350000,177.490875
5.358333,177.469938
5.366667,177.447179
5.375000,177.420878
5.383333,177.396405
5.391667,177.367643
5.400000,177.347426
5.408333,177.322340
5.416667,177.287928
