time_s,y_mm
0.000000,163.406672
0.008333,163.387293
0.016667,163.372942
0.025000,163.369076
0.033333,163.338240
0.041667,163.314453
0.050000,163.293952
0.058333,163.280951
0.066667,163.273928
0.075000,163.279075
0.083333,163.269489
0.091667,163.269831
0.100000,163.254501
0.108333,163.238836
0.116667,163.233410
0.125000,163.245804
0.133333,163.239751
0.141667,163.249476
0.150000,163.229977
0.158333,163.217355
0.166667,163.199129
0.175000,163.187366
0.183333,163.195535
0.191667,163.193074
0.200000,163.182534
0.208333,163.160899
0.216667,163.155318
0.225000,163.135005
0.233333,163.122818
0.241667,163.115475
0.250000,163.112023
0.258333,163.102751
0.266667,163.084666
0.275000,163.079118
0.283333,163.072181
0.291667,163.058419
0.300000,163.053728
0.308333,163.038230
0.316667,163.032101
0.325000,163.023705
0.333333,163.019757
0.341667,163.016868
0.350000,163.008981
0.358333,162.992613
0.366667,162.977268
0.375000,162.952617
0.383333,162.951948
0.391667,162.941403
0.400000,162.938053
0.408333,162.928257
0.416667,162.938263
0.425000,162.918811
0.433333,162.918298
0.441667,162.907491
0.450000,162.887461
0.458333,162.866107
0.466667,162.863469
0.475000,162.849498
0.483333,162.835125
0.491667,162.807880
0.500000,162.791851
0.508333,162.750322
0.516667,162.729845
0.525000,162.704425
0.533333,162.676393
0.541667,162.659226
0.550000,162.648268
0.558333,162.650543
0.566667,162.637395
0.575000,162.634154
0.583333,162.627584
0.591667,162.616513
0.600000,162.610696
0.608333,162.603800
0.616667,162.603736
0.625000,162.589174
0.633333,162.581614
0.641667,162.565842
0.650000,162.551944
0.658333,162.540168
0.666667,162.534227
0.675000,162.535551
0.683333,162.523900
0.691667,162.515591
0.700000,162.501383
0.708333,162.497330
0.716667,162.486375
0.725000,162.475915
0.733333,162.467178
0.741667,162.477253
0.750000,162.466807
0.758333,162.453593
0.766667,162.445784
0.775000,162.445109
0.783333,162.446833
0.791667,162.436936
0.800000,162.423269
0.808333,162.408230
0.816667,162.395952
0.825000,162.382228
0.833333,162.377304
0.841667,162.365572
0.850000,162.356359
0.858333,162.359360
0.866667,162.354128
0.875000,162.337794
0.883333,162.329454
0.891667,162.332072
0.900000,162.331607
0.908333,162.345330
0.916667,162.342989
0.925000,162.340166
0.933333,162.327974
0.941667,162.319624
0.950000,162.313853
0.958333,162.317469
0.966667,162.322183
0.975000,162.330561
0.983333,162.312612
0.991667,162.310518
1.000000,162.301398
1.008333,162.291951
1.016667,162.298087
1.025000,162.285109
1.033333,162.285770
1.041667,162.274178
1.050000,162.259784
1.058333,162.256917
1.066667,162.252299
1.075000,162.244624
1.083333,162.237847
1.091667,162.225881
1.100000,162.227426
1.108333,162.236947
1.116667,162.229619
1.125000,162.211633
1.133333,162.211639
1.141667,162.196592
1.150000,162.194175
1.158333,162.193327
1.166667,162.202594
1.175000,162.200411
1.183333,162.195616
1.191667,162.189321
1.200000,162.199290
1.208333,162.184491
1.216667,162.181122
1.225000,162.172928
1.233333,162.179681
1.241667,162.165763
1.250000,162.164018
1.258333,162.161235
1.266667,162.143315
1.275000,162.149518
1.283333,162.149158
1.291667,162.151274
1.300000,162.148736
1.308333,162.145464
1.316667,162.131437
1.325000,162.113683
1.333333,162.100635
1.341667,162.093294
1.350000,162.082469
1.358333,162.068646
1.366667,162.039473
1.375000,162.026842
1.383333,162.002613
1.391667,161.985562
1.400000,161.969567
1.408333,161.960234
1.416667,161.947337
1.425000,161.945811
1.433333,161.959313
1.441667,161.965787
1.450000,161.961978
1.458333,161.951750
1.466667,161.948227
1.475000,161.943680
1.483333,161.947659
1.491667,161.945109
1.500000,161.945438
1.508333,161.946433
1.516667,161.940148
1.525000,161.937261
1.533333,161.926464
1.541667,161.915870
1.550000,161.922663
1.558333,161.919605
1.566667,161.920812
1.575000,161.929755
1.583333,161.922999
1.591667,161.917718
1.600000,161.919215
1.608333,161.911352
1.616667,161.904395
1.625000,161.923240
1.633333,161.925898
1.641667,161.927967
1.650000,161.939864
1.658333,161.925183
1.666667,161.921202
1.675000,161.913390
1.683333,161.909319
1.691667,161.905946
1.700000,161.894794
1.708333,161.895557
1.716667,161.898604
1.725000,161.895260
1.733333,161.904346
1.741667,161.898051
1.750000,161.895823
1.758333,161.911574
1.766667,161.911547
1.775000,161.907228
1.783333,161.904031
1.791667,161.911043
1.800000,161.920095
1.808333,161.924754
1.816667,161.925530
1.825000,161.916501
1.833333,161.913620
1.841667,161.915229
1.850000,161.918516
1.858333,161.924956
1.866667,161.927658
1.875000,161.917826
1.883333,161.928370
1.891667,161.923581
