time_s,y_mm
0.000000,143.634721
0.008333,143.633018
0.016667,143.626256
0.025000,143.597963
0.033333,143.578589
0.041667,143.573684
0.050000,143.556989
0.058333,143.549649
0.066667,143.532812
0.075000,143.509505
0.083333,143.489463
0.091667,143.475176
0.100000,143.453197
0.108333,143.445760
0.116667,143.415016
0.125000,143.398131
0.133333,143.373546
0.141667,143.363062
0.150000,143.350338
0.158333,143.340207
0.166667,143.313652
0.175000,143.288393
0.183333,143.248472
0.191667,143.227350
0.200000,143.198426
0.208333,143.176576
0.216667,143.175061
0.225000,143.153507
0.233333,143.124951
0.241667,143.095773
0.250000,143.070322
0.258333,143.041961
0.266667,143.037338
0.275000,143.029605
0.283333,143.029589
0.291667,143.014748
0.300000,142.989755
0.308333,142.954513
0.316667,142.929031
0.325000,142.907299
0.333333,142.899840
0.341667,142.896880
0.350000,142.881660
0.358333,142.869921
0.366667,142.842258
0.375000,142.809455
0.383333,142.784899
0.391667,142.771735
0.400000,142.770073
0.408333,142.766693
0.416667,142.756183
0.425000,142.741396
0.433333,142.708285
0.441667,142.683189
0.450000,142.667647
0.458333,142.664856
0.466667,142.668568
0.475000,142.661448
0.483333,142.643640
0.491667,142.623472
0.500000,142.603218
0.508333,142.587858
0.516667,142.581458
0.525000,142.569463
0.533333,142.560533
0.541667,142.551826
0.550000,142.554914
0.558333,142.549203
0.566667,142.548825
0.575000,142.553092
0.583333,142.561560
0.591667,142.578329
0.600000,142.595964
0.608333,142.616393
0.616667,142.640292
0.625000,142.646541
0.633333,142.675474
0.641667,142.687625
0.650000,142.688040
0.658333,142.696717
0.666667,142.695435
0.675000,142.704711
0.683333,142.718800
0.691667,142.737172
0.700000,142.747209
0.708333,142.738672
0.716667,142.727117
0.725000,142.728204
0.733333,142.720322
0.741667,142.719192
0.750000,142.728295
0.758333,142.715346
0.766667,142.711099
0.775000,142.699549
0.783333,142.683621
0.791667,142.662292
0.800000,142.646252
0.808333,142.633271
0.816667,142.646064
0.825000,142.640205
0.833333,142.645025
0.841667,142.636951
0.850000,142.632188
0.858333,142.626173
0.866667,142.624619
0.875000,142.642085
0.883333,142.648475
0.891667,142.658966
0.900000,142.658137
0.908333,142.650747
0.916667,142.652866
0.925000,142.643266
0.933333,142.654834
0.941667,142.653280
0.950000,142.654070
0.958333,142.651986
0.966667,142.650803
0.975000,142.641119
0.983333,142.646712
0.991667,142.647389
1.000000,142.642224
1.008333,142.631145
1.016667,142.630630
1.025000,142.603928
1.033333,142.610014
1.041667,142.610003
1.050000,142.617500
1.058333,142.625068
1.066667,142.618788
1.075000,142.607442
1.083333,142.602358
1.091667,142.590464
1.100000,142.588131
1.108333,142.605283
1.116667,142.610127
1.125000,142.630523
1.133333,142.632985
1.141667,142.646075
1.150000,142.643200
1.158333,142.636799
1.166667,142.648007
1.175000,142.652034
1.183333,142.670665
1.191667,142.687744
1.200000,142.714921
1.208333,142.701167
1.216667,142.693639
1.225000,142.692017
1.233333,142.691071
1.241667,142.703979
1.250000,142.712375
1.258333,142.715308
1.266667,142.711083
1.275000,142.703818
1.283333,142.698090
1.291667,142.700999
1.300000,142.702994
1.308333,142.716678
1.316667,142.711073
1.325000,142.702910
1.333333,142.710250
1.341667,142.710825
1.350000,142.707930
1.358333,142.702953
1.366667,142.706636
1.375000,142.695102
1.383333,142.696689
1.391667,142.688890
1.400000,142.702458
1.408333,142.707700
1.416667,142.699516
1.425000,142.698928
1.433333,142.682716
1.441667,142.669915
1.450000,142.666451
1.458333,142.662533
1.466667,142.665921
1.475000,142.678757
1.483333,142.670458
1.491667,142.656124
1.500000,142.644059
1.508333,142.632785
1.516667,142.633922
1.525000,142.615036
1.533333,142.615940
1.541667,142.605243
1.550000,142.590244
1.558333,142.569044
1.566667,142.551242
1.575000,142.548707
1.583333,142.527314
1.591667,142.513801
1.600000,142.499526
1.608333,142.480298
1.616667,142.462736
1.625000,142.455356
1.633333,142.443289
1.641667,142.446559
1.650000,142.436833
1.658333,142.433193
1.666667,142.409954
1.675000,142.396638
1.683333,142.383599
1.691667,142.372424
1.700000,142.346358
1.708333,142.323858
1.716667,142.308905
1.725000,142.274430
1.733333,142.239785
1.741667,142.204697
1.750000,142.175532
1.758333,142.157700
1.766667,142.128546
1.775000,142.123092
1.783333,142.102120
1.791667,142.081458
1.800000,142.061963
1.808333,142.032126
1.816667,142.018158
1.825000,141.998750
1.833333,141.976930
1.841667,141.967666
1.850000,141.931329
1.858333,141.912659
1.866667,141.879016
1.875000,141.856732
1.883333,141.840297
1.891667,141.830387
1.900000,141.806937
1.908333,141.794674
1.916667,141.784741
1.925000,141.768836
1.933333,141.754196
1.941667,141.733811
1.950000,141.709078
1.958333,141.690922
1.966667,141.685160
1.975000,141.665087
1.983333,141.644409
1.991667,141.625968
2.000000,141.596274
2.008333,141.565869
2.016667,141.529358
2.025000,141.517083
2.033333,141.509997
2.041667,141.499023
2.050000,141.471945
2.058333,141.441692
2.066667,141.410489
2.075000,141.382957
2.083333,141.363424
2.091667,141.343375
2.100000,141.333915
2.108333,141.306518
2.116667,141.285422
2.125000,141.262513
2.133333,141.224428
2.141667,141.216310
2.150000,141.205359
2.158333,141.192575
2.166667,141.193075
2.175000,141.183053
2.183333,141.166585
2.191667,141.136730
2.200000,141.125062
2.208333,141.120962
2.216667,141.104920
2.225000,141.107877
2.233333,141.090242
2.241667,141.073897
2.250000,141.047261
2.258333,141.020692
