time_s,y_mm
0.000000,197.992327
0.008333,197.986572
0.016667,197.998233
0.025000,198.001087
0.033333,198.004247
0.041667,198.004332
0.050000,197.995003
0.058333,197.986903
0.066667,197.981884
0.075000,197.982954
0.083333,197.997160
0.091667,198.011490
0.100000,198.028731
0.108333,198.050132
0.116667,198.064687
0.125000,198.063763
0.133333,198.052295
0.141667,198.056934
0.150000,198.064343
0.158333,198.081161
0.166667,198.096505
0.175000,198.111072
0.183333,198.126451
0.191667,198.132063
0.200000,198.151472
0.208333,198.178096
0.216667,198.202981
0.225000,198.214452
0.233333,198.224533
0.241667,198.240553
0.250000,198.250453
0.258333,198.266310
0.266667,198.277901
0.275000,198.300449
0.283333,198.314089
0.291667,198.303106
0.300000,198.317005
0.308333,198.310657
0.316667,198.306669
0.325000,198.295081
0.333333,198.288071
0.341667,198.266518
0.350000,198.239685
0.358333,198.222436
0.366667,198.216821
0.375000,198.198095
0.383333,198.191867
0.391667,198.183752
0.400000,198.176419
0.408333,198.179281
0.416667,198.169530
0.425000,198.169888
0.433333,198.172524
0.441667,198.166696
0.450000,198.169561
0.458333,198.168067
0.466667,198.169437
0.475000,198.173626
0.483333,198.167898
0.491667,198.148127
0.500000,198.146121
0.508333,198.150913
0.516667,198.141398
0.525000,198.138538
0.533333,198.114515
0.541667,198.090022
0.550000,198.061254
0.558333,198.054726
0.566667,198.048343
0.575000,198.047809
0.583333,198.041590
0.591667,198.029644
0.600000,197.993713
0.608333,197.978822
0.616667,197.965340
0.625000,197.954595
0.633333,197.951923
0.641667,197.931646
0.650000,197.923262
0.658333,197.900014
0.666667,197.885858
0.675000,197.868167
0.683333,197.850606
0.691667,197.851144
0.700000,197.831696
0.708333,197.822579
0.716667,197.807432
0.725000,197.793730
0.733333,197.784778
0.741667,197.776706
0.750000,197.766300
0.758333,197.757078
0.766667,197.747923
0.775000,197.726856
0.783333,197.726696
0.791667,197.724576
0.800000,197.711997
0.808333,197.695385
0.816667,197.682449
0.825000,197.673772
0.833333,197.653493
0.841667,197.639001
0.850000,197.624100
0.858333,197.618583
0.866667,197.613875
0.875000,197.600989
0.883333,197.576065
0.891667,197.558050
0.900000,197.537549
0.908333,197.527895
0.916667,197.532530
0.925000,197.528812
0.933333,197.510547
0.941667,197.471978
0.950000,197.422367
0.958333,197.374615
0.966667,197.332509
0.975000,197.319582
0.983333,197.304606
0.991667,197.306968
1.000000,197.280341
1.008333,197.261064
1.016667,197.236460
1.025000,197.216097
1.033333,197.214962
1.041667,197.207740
1.050000,197.210125
1.058333,197.182755
1.066667,197.157966
1.075000,197.118545
1.083333,197.101537
1.091667,197.093926
1.100000,197.105345
1.108333,197.090154
1.116667,197.078384
1.125000,197.065302
1.133333,197.045036
1.141667,197.045315
1.150000,197.040132
1.158333,197.049345
1.166667,197.038795
1.175000,197.010725
1.183333,196.997099
1.191667,196.987118
1.200000,196.973273
1.208333,196.965841
1.216667,196.972280
1.225000,196.953440
1.233333,196.939036
1.241667,196.917794
1.250000,196.890239
1.258333,196.878474
1.266667,196.853482
1.275000,196.832355
1.283333,196.813911
1.291667,196.796685
1.300000,196.788766
1.308333,196.774707
1.316667,196.743703
1.325000,196.736506
1.333333,196.741487
1.341667,196.738490
1.350000,196.744288
1.358333,196.751254
1.366667,196.736752
1.375000,196.716149
1.383333,196.706804
1.391667,196.698396
1.400000,196.701806
1.408333,196.711192
1.416667,196.712936
1.425000,196.696321
1.433333,196.679801
1.441667,196.651604
1.450000,196.638643
1.458333,196.621475
1.466667,196.610438
1.475000,196.599582
