time_s,y_mm
0.000000,181.847244
0.008333,181.865736
0.016667,181.873567
0.025000,181.885998
0.033333,181.910775
0.041667,181.928333
0.050000,181.962867
0.058333,181.986338
0.066667,182.022276
0.075000,182.042024
0.083333,182.070321
0.091667,182.078452
0.100000,182.109838
0.108333,182.131504
0.116667,182.169110
0.125000,182.193870
0.133333,182.242081
0.141667,182.263504
0.150000,182.281869
0.158333,182.307509
0.166667,182.333596
0.175000,182.340783
0.183333,182.370804
0.191667,182.403949
0.200000,182.430795
0.208333,182.451833
0.216667,182.460431
0.225000,182.477600
0.233333,182.499839
0.241667,182.521091
0.250000,182.553569
0.258333,182.579322
0.266667,182.587918
0.275000,182.598002
0.283333,182.615541
0.291667,182.639172
0.300000,182.681212
0.308333,182.714025
0.316667,182.720912
0.325000,182.730031
0.333333,182.721985
0.341667,182.746280
0.350000,182.767556
0.358333,182.812503
0.366667,182.856486
0.375000,182.871628
0.383333,182.889285
0.391667,182.875876
0.400000,182.890081
0.408333,182.910892
0.416667,182.955711
0.425000,182.995104
0.433333,183.029155
0.441667,183.044562
0.450000,183.037608
0.458333,183.050961
0.466667,183.060652
0.475000,183.084976
0.483333,183.124741
0.491667,183.144582
0.500000,183.175837
0.508333,183.192966
0.516667,183.208796
0.525000,183.211212
0.533333,183.238064
0.541667,183.257938
0.550000,183.289734
0.558333,183.318147
0.566667,183.342941
0.575000,183.351422
0.583333,183.366118
0.591667,183.384167
0.600000,183.395501
0.608333,183.428618
0.616667,183.462418
0.625000,183.481306
0.633333,183.509393
0.641667,183.516971
0.650000,183.530680
0.658333,183.556079
0.666667,183.581986
0.675000,183.618771
0.683333,183.643960
0.691667,183.663359
0.700000,183.676086
0.708333,183.681502
0.716667,183.696118
0.725000,183.724966
0.733333,183.749947
0.741667,183.787518
0.750000,183.800220
0.758333,183.810891
0.766667,183.812941
0.775000,183.808121
0.783333,183.808139
0.791667,183.819901
0.800000,183.857719
0.808333,183.879917
0.816667,183.890781
0.825000,183.878750
0.833333,183.875257
0.841667,183.847878
0.850000,183.854512
0.858333,183.879011
0.866667,183.903336
0.875000,183.916965
0.883333,183.908674
0.891667,183.882011
0.900000,183.853985
0.908333,183.866816
0.916667,183.895377
0.925000,183.938632
0.933333,183.976976
0.941667,183.976171
0.950000,183.958291
0.958333,183.927066
0.966667,183.907074
0.975000,183.918018
0.983333,183.941901
0.991667,183.963308
1.000000,183.972090
