time_s,y_mm
0.000000,181.899007
0.008333,181.929454
0.016667,181.938946
0.025000,181.970734
0.033333,181.994880
0.041667,182.026874
0.050000,182.063921
0.058333,182.096390
0.066667,182.135800
0.075000,182.145779
0.083333,182.153488
0.091667,182.160858
0.100000,182.190603
0.108333,182.219464
0.116667,182.243125
0.125000,182.280041
0.133333,182.297989
0.141667,182.319034
0.150000,182.334246
0.158333,182.340890
0.166667,182.381787
0.175000,182.406345
0.183333,182.446328
0.191667,182.457248
0.200000,182.465646
0.208333,182.471625
0.216667,182.486320
0.225000,182.517432
0.233333,182.546053
0.241667,182.562532
0.250000,182.558036
0.258333,182.564528
0.266667,182.573810
0.275000,182.585522
0.283333,182.621153
0.291667,182.658518
0.300000,182.678853
0.308333,182.705887
0.316667,182.710115
0.325000,182.738559
0.333333,182.742096
0.341667,182.767753
0.350000,182.801400
0.358333,182.832460
0.366667,182.859953
0.375000,182.872635
0.383333,182.886376
0.391667,182.896507
0.400000,182.932097
0.408333,182.956938
0.416667,182.988491
0.425000,183.008643
0.433333,183.020723
0.441667,183.039703
0.450000,183.054111
0.458333,183.086053
0.466667,183.125629
0.475000,183.160256
0.483333,183.187742
0.491667,183.221817
0.500000,183.229897
0.508333,183.238380
0.516667,183.262414
0.525000,183.288393
0.533333,183.321699
0.541667,183.352529
0.550000,183.382239
0.558333,183.384076
0.566667,183.401925
0.575000,183.416289
0.583333,183.453262
0.591667,183.494527
0.600000,183.530360
0.608333,183.554672
0.616667,183.575233
0.625000,183.581648
0.633333,183.601596
0.641667,183.642951
0.650000,183.677590
0.658333,183.699285
0.666667,183.733502
0.675000,183.741830
0.683333,183.756209
0.691667,183.768553
0.700000,183.784863
0.708333,183.800249
0.716667,183.824485
0.725000,183.843762
0.733333,183.871451
0.741667,183.891613
0.750000,183.922679
0.758333,183.943005
0.766667,183.962194
0.775000,183.980957
0.783333,183.997286
0.791667,184.019136
0.800000,184.036138
0.808333,184.078668
0.816667,184.109312
0.825000,184.118859
0.833333,184.135227
0.841667,184.158366
0.850000,184.179186
0.858333,184.202869
0.866667,184.224179
0.875000,184.229533
0.883333,184.255698
0.891667,184.274129
0.900000,184.296829
0.908333,184.320989
0.916667,184.344325
0.925000,184.365448
0.933333,184.383140
0.941667,184.401840
0.950000,184.417730
