time_s,y_mm
0.000000,172.634969
0.008333,172.610409
0.016667,172.599496
0.025000,172.593379
0.033333,172.586238
0.041667,172.576606
0.050000,172.575585
0.058333,172.557058
0.066667,172.546149
0.075000,172.528941
0.083333,172.528897
0.091667,172.507346
0.100000,172.516071
0.108333,172.512195
0.116667,172.495573
0.125000,172.481242
0.133333,172.469752
0.141667,172.469232
0.150000,172.459520
0.158333,172.448288
0.166667,172.430227
0.175000,172.423169
0.183333,172.407048
0.191667,172.401011
0.200000,172.386625
0.208333,172.364787
0.216667,172.346024
0.225000,172.328959
0.233333,172.318432
0.241667,172.309767
0.250000,172.302701
0.258333,172.296582
0.266667,172.288517
0.275000,172.274743
0.283333,172.270011
0.291667,172.258926
0.300000,172.239222
0.308333,172.243744
0.316667,172.242328
0.325000,172.241608
0.333333,172.237072
0.341667,172.229569
0.350000,172.218297
0.358333,172.218435
0.366667,172.210731
0.375000,172.219977
0.383333,172.212394
0.391667,172.213126
0.400000,172.218777
0.408333,172.218891
0.416667,172.220886
0.425000,172.239419
0.433333,172.242623
0.441667,172.258774
0.450000,172.262073
0.458333,172.279551
0.466667,172.285355
0.475000,172.301120
0.483333,172.301164
0.491667,172.322037
0.500000,172.315628
0.508333,172.329283
0.516667,172.333628
0.525000,172.344119
0.533333,172.353143
0.541667,172.365048
0.550000,172.375202
0.558333,172.400357
0.566667,172.437514
0.575000,172.465803
0.583333,172.487649
0.591667,172.511290
0.600000,172.540086
0.608333,172.564200
0.616667,172.594893
0.625000,172.634401
0.633333,172.670785
0.641667,172.694548
0.650000,172.724894
0.658333,172.761799
0.666667,172.782150
0.675000,172.808175
0.683333,172.835500
0.691667,172.862215
0.700000,172.901833
0.708333,172.932868
0.716667,172.972858
0.725000,172.994169
0.733333,173.021211
0.741667,173.045551
0.750000,173.066128
0.758333,173.106142
0.766667,173.141067
0.775000,173.179267
0.783333,173.220703
0.791667,173.251082
0.800000,173.278402
0.808333,173.300069
0.816667,173.333135
0.825000,173.368234
0.833333,173.412925
0.841667,173.441847
0.850000,173.472368
0.858333,173.503164
0.866667,173.532949
0.875000,173.564696
0.883333,173.605987
0.891667,173.649577
0.900000,173.682577
0.908333,173.720729
0.916667,173.743090
0.925000,173.775136
0.933333,173.809102
0.941667,173.837316
0.950000,173.880403
0.958333,173.912140
0.966667,173.947615
0.975000,173.982693
0.983333,174.015615
0.991667,174.033285
1.000000,174.072106
1.008333,174.100666
1.016667,174.138336
1.025000,174.176091
1.033333,174.214359
1.041667,174.239561
1.050000,174.269374
1.058333,174.280711
1.066667,174.307226
1.075000,174.323520
1.083333,174.362964
1.091667,174.384498
1.100000,174.403989
1.108333,174.423340
1.116667,174.446193
1.125000,174.461592
1.133333,174.472765
1.141667,174.493612
1.150000,174.514737
1.158333,174.549486
1.166667,174.570194
1.175000,174.609200
1.183333,174.629105
1.191667,174.652220
1.200000,174.678438
1.208333,174.698576
1.216667,174.731606
1.225000,174.759067
1.233333,174.784030
1.241667,174.809991
1.250000,174.833591
1.258333,174.852749
1.266667,174.877894
1.275000,174.896907
1.283333,174.929175
1.291667,174.946659
1.300000,174.986588
1.308333,174.994771
1.316667,175.017188
1.325000,175.032401
1.333333,175.046124
1.341667,175.057025
1.350000,175.080827
1.358333,175.092997
1.366667,175.103215
1.375000,175.113770
1.383333,175.124859
1.391667,175.128816
1.400000,175.143380
1.408333,175.138028
1.416667,175.141642
1.425000,175.144204
1.433333,175.146355
1.441667,175.158637
1.450000,175.164198
1.458333,175.192296
1.466667,175.208549
1.475000,175.232968
1.483333,175.248406
1.491667,175.269725
1.500000,175.296417
1.508333,175.321493
1.516667,175.332596
1.525000,175.346383
1.533333,175.371233
1.541667,175.382745
1.550000,175.397464
1.558333,175.409034
1.566667,175.425629
1.575000,175.440489
1.583333,175.440060
1.591667,175.448464
1.600000,175.458815
1.608333,175.460416
1.616667,175.476419
