time_s,y_mm
238.033333,182.353226
238.041666,182.354201
238.050000,182.368387
238.058333,182.371729
238.066666,182.357970
238.075000,182.345370
238.083333,182.322898
238.091666,182.318300
238.100000,182.311866
238.108333,182.300893
238.116666,182.289772
238.125000,182.282264
238.133333,182.253147
238.141666,182.234837
238.150000,182.221789
238.158333,182.222834
238.166666,182.229591
238.175000,182.228180
238.183333,182.222051
238.191666,182.205532
238.200000,182.184900
238.208333,182.176498
238.216666,182.163226
238.225000,182.167165
238.233333,182.161443
238.241666,182.149362
238.250000,182.124440
238.258333,182.118596
238.266666,182.086936
238.275000,182.075121
238.283333,182.063780
238.291666,182.047639
238.300000,182.047997
238.308333,182.048921
238.316666,182.030961
238.325000,182.011459
238.333333,181.975349
238.341666,181.976778
238.350000,181.961286
238.358333,181.962692
238.366666,181.966246
238.375000,181.955314
238.383333,181.947917
238.391666,181.941024
238.400000,181.926952
238.408333,181.909746
238.416666,181.917144
238.425000,181.906162
238.433333,181.899655
238.441666,181.884597
238.450000,181.865829
238.458333,181.839947
238.466666,181.825417
238.475000,181.812717
238.483333,181.801766
238.491666,181.793372
238.500000,181.782255
238.508333,181.769570
238.516666,181.753536
238.525000,181.730295
238.533333,181.718474
238.541666,181.716765
238.550000,181.717319
238.558333,181.713381
238.566666,181.709892
238.575000,181.693416
238.583333,181.678462
238.591666,181.668017
238.600000,181.662839
238.608333,181.651866
238.616666,181.628318
238.625000,181.622721
238.633333,181.618056
238.641666,181.604261
238.650000,181.588278
238.658333,181.574868
238.666666,181.557122
238.675000,181.548065
238.683333,181.534305
238.691666,181.520268
238.700000,181.511520
238.708333,181.490690
238.716666,181.481231
238.725000,181.457934
238.733333,181.452233
238.741666,181.433307
238.750000,181.419172
238.758333,181.401149
238.766666,181.402115
238.775000,181.378190
238.783333,181.370571
238.791666,181.359345
238.800000,181.343619
238.808333,181.338859
238.816666,181.318000
238.825000,181.301878
238.833333,181.288310
238.841666,181.275611
238.850000,181.273824
238.858333,181.262077
238.866666,181.242970
238.875000,181.231956
238.883333,181.213406
238.891666,181.196065
238.900000,181.192564
238.908333,181.194348
238.916666,181.177861
238.925000,181.154825
238.933333,181.149022
238.941666,181.125361
238.950000,181.106394
238.958333,181.092516
238.966666,181.091098
238.975000,181.075342
238.983333,181.062252
238.991666,181.055971
239.000000,181.046410
239.008333,181.031737
239.016666,181.024320
239.025000,181.009639
239.033333,180.992425
239.041666,180.969266
239.050000,180.950074
239.058333,180.947535
239.066666,180.936006
239.075000,180.936479
239.083333,180.936829
239.091666,180.927759
239.100000,180.912024
239.108333,180.885953
239.116666,180.852966
239.125000,180.809784
239.133333,180.779455
239.141666,180.760321
239.150000,180.746630
239.158333,180.720861
239.166666,180.705069
239.175000,180.695557
239.183333,180.659008
239.191666,180.649759
239.200000,180.637553
239.208333,180.624981
239.216666,180.625621
239.225000,180.623152
239.233333,180.626182
239.241666,180.611600
239.250000,180.592232
239.258333,180.562998
